-7.2861	-0.2218
-7.2432	-0.3094
-7.1731	-0.4154
-7.0898	-0.5211
-6.9244	-0.6678
-6.787	-0.7652
-6.65	-0.8381
-6.4721	-0.8984
-6.2533	-0.9465
-5.9662	-0.9911
-5.7066	-1.0102
-5.4607	-1.0004
-5.2012	-0.9768
-4.9691	-0.946
-4.8052	-0.9375
-4.6003	-0.9333
-4.409	-0.9457
-4.2176	-0.9764
-3.9442	-1.0399
-3.5613	-1.1467
-3.1785	-1.2793
-2.8368	-1.3816
-2.3858	-1.4567
-1.935	-1.4845
-1.2794	-1.3684
-0.8152	-1.2507
-0.3784	-1.088
-0.0237	-0.9524
0.2761	-0.8072
0.5618	-0.6487
0.8199	-0.5089
1.0095	-0.3878
1.1446	-0.2998
1.2385	-0.2219
